,2mm_EXTRALARGE_DATASET_mem.dat,2mm_LARGE_DATASET_mem.dat,2mm_MEDIUM_DATASET_mem.dat,3mm_EXTRALARGE_DATASET_mem.dat,3mm_LARGE_DATASET_mem.dat,3mm_MEDIUM_DATASET_mem.dat,adi_EXTRALARGE_DATASET_mem.dat,adi_LARGE_DATASET_mem.dat,adi_MEDIUM_DATASET_mem.dat,atax_EXTRALARGE_DATASET_mem.dat,atax_LARGE_DATASET_mem.dat,bicg_EXTRALARGE_DATASET_mem.dat,bicg_LARGE_DATASET_mem.dat,cholesky_EXTRALARGE_DATASET_mem.dat,cholesky_LARGE_DATASET_mem.dat,cholesky_MEDIUM_DATASET_mem.dat,correlation_EXTRALARGE_DATASET_mem.dat,correlation_LARGE_DATASET_mem.dat,correlation_MEDIUM_DATASET_mem.dat,covariance_EXTRALARGE_DATASET_mem.dat,covariance_LARGE_DATASET_mem.dat,covariance_MEDIUM_DATASET_mem.dat,deriche_EXTRALARGE_DATASET_mem.dat,deriche_LARGE_DATASET_mem.dat,deriche_MEDIUM_DATASET_mem.dat,doitgen_EXTRALARGE_DATASET_mem.dat,doitgen_LARGE_DATASET_mem.dat,doitgen_MEDIUM_DATASET_mem.dat,durbin_EXTRALARGE_DATASET_mem.dat,durbin_LARGE_DATASET_mem.dat,fdtd-2d_EXTRALARGE_DATASET_mem.dat,fdtd-2d_LARGE_DATASET_mem.dat,fdtd-2d_MEDIUM_DATASET_mem.dat,gemm_EXTRALARGE_DATASET_mem.dat,gemm_LARGE_DATASET_mem.dat,gemm_MEDIUM_DATASET_mem.dat,gemver_EXTRALARGE_DATASET_mem.dat,gemver_LARGE_DATASET_mem.dat,gesummv_EXTRALARGE_DATASET_mem.dat,gesummv_LARGE_DATASET_mem.dat,gramschmidt_EXTRALARGE_DATASET_mem.dat,gramschmidt_LARGE_DATASET_mem.dat,gramschmidt_MEDIUM_DATASET_mem.dat,heat-3d_EXTRALARGE_DATASET_mem.dat,heat-3d_LARGE_DATASET_mem.dat,heat-3d_MEDIUM_DATASET_mem.dat,jacobi-1d_EXTRALARGE_DATASET_mem.dat,jacobi-2d_EXTRALARGE_DATASET_mem.dat,jacobi-2d_LARGE_DATASET_mem.dat,jacobi-2d_MEDIUM_DATASET_mem.dat,lu_EXTRALARGE_DATASET_mem.dat,lu_LARGE_DATASET_mem.dat,lu_MEDIUM_DATASET_mem.dat,ludcmp_EXTRALARGE_DATASET_mem.dat,ludcmp_LARGE_DATASET_mem.dat,ludcmp_MEDIUM_DATASET_mem.dat,mvt_EXTRALARGE_DATASET_mem.dat,mvt_LARGE_DATASET_mem.dat,seidel-2d_EXTRALARGE_DATASET_mem.dat,seidel-2d_LARGE_DATASET_mem.dat,seidel-2d_MEDIUM_DATASET_mem.dat,symm_EXTRALARGE_DATASET_mem.dat,symm_LARGE_DATASET_mem.dat,symm_MEDIUM_DATASET_mem.dat,syr2k_EXTRALARGE_DATASET_mem.dat,syr2k_LARGE_DATASET_mem.dat,syr2k_MEDIUM_DATASET_mem.dat,syrk_EXTRALARGE_DATASET_mem.dat,syrk_LARGE_DATASET_mem.dat,syrk_MEDIUM_DATASET_mem.dat,trisolv_EXTRALARGE_DATASET_mem.dat,trisolv_LARGE_DATASET_mem.dat,trmm_EXTRALARGE_DATASET_mem.dat,trmm_LARGE_DATASET_mem.dat,trmm_MEDIUM_DATASET_mem.dat
0,94784816.27633986,139957609.13962522,196365025.00000015,110882359.10753894,95733998.84867615,135215900.00000003,283560328.42784506,192156094.2341223,280426756.936358,48254720.00000006,47855483.33333337,59335600.00000002,61224700.00000004,45970902.23014105,54667723.46209945,100498599.82247475,153830350.13166955,137307712.2457488,153867500.00000018,155833664.67087576,171365724.2405299,166010280.00000006,73051081.57274203,134052103.62876606,249105700.00000006,39592052.21292125,18892719.94038868,146665216.6666668,173032840.00000012,186658516.66666675,263122885.79576945,231160120.37761012,228556180.00000006,149120186.35941458,123126108.01417358,245691383.33333352,49701733.47209771,48040662.500000075,62194365.1134267,58877920.00000005,111901079.66035949,124403634.55181237,142840200.00000006,204300686.2420227,156054453.2287587,223625563.07894203,330262840.0000003,334171903.1435697,305338973.56527025,340445140.0000003,45802362.45921381,54528087.902945496,123118287.71046437,48455763.060189694,52166696.44329816,112624326.9288998,48403640.71102717,49789420.00000003,255236941.93544227,262133650.49795267,240354382.56806704,175206351.8862295,142380526.15033346,217930060.00000018,200738005.39338148,162438369.8869456,228260260.00000024,133548179.05806307,70886983.2494623,228067400.0000001,150276500.00000015,109482316.66666676,54713469.230606936,57183919.225296095,199036300.00000006
1,208089550.91441587,301447697.8966247,214731670.59054428,187023139.36141217,208629442.0349838,150351778.73776662,317256952.74516505,520447892.9354422,307771381.52474463,48803783.207635,48558260.42987089,60233163.74974483,62367506.73869072,138581546.4102582,153996149.6036964,130489780.98852119,139202953.77155712,151166212.4681226,154729140.9378794,140036030.18098226,168290491.85116643,168321049.73658147,118477178.78247991,143524640.56698546,249010188.80850133,172903734.16949642,142800143.59197974,152587005.1455127,176467810.39578402,187327306.6987599,442869283.0370282,421030010.9851723,237200327.49240133,411052939.6552322,368350158.6795659,259719921.74524269,52560393.970160216,48931453.84899583,64113502.26134105,60078919.45396512,115837435.80358551,160142494.82796517,149953081.7957572,546185761.1816971,420229062.7638372,252516963.59744835,332796352.93965536,547712053.1982605,402306583.28735965,349361187.8579805,139482238.5429833,152917439.0727332,150596753.43904865,140083391.0211708,138778275.06883878,139736348.407987,50961315.18504343,50575936.57642685,482254785.5926894,412146597.47924674,252341611.98008564,344117673.02607346,326865573.5979579,226046966.62871748,445174302.91617525,448557481.5063351,245367454.66589746,352504750.5523943,267828842.74344593,234533291.98660493,158548218.15866476,113410524.7008054,93134300.41399917,149948914.59802192,200873628.53660575
2,281029036.0152136,406779999.84028625,231005053.28566033,234446361.44525108,281260132.3187476,162923060.26934457,395574613.2239529,716523185.917175,328439912.7372445,49325222.976996265,49203353.22527515,61043451.85906669,63365352.02823168,195409842.18065357,216296001.91855484,151450180.17810744,131731738.13940841,161768890.6863504,155587246.00114682,130559999.52160728,168248138.9770493,170479885.6418753,135849634.9291891,140461231.21238485,249115365.25833791,270612946.60045,228600632.80333346,158139144.93230224,179631883.27884233,188013410.04860356,553027582.6308635,534013458.2899158,244726364.31656218,574603334.268458,519705974.2162743,272549333.5707101,55066149.40828414,49794784.68840873,65770735.48997281,61129764.31334204,118585829.80378,183766587.37774855,156203385.7463887,753624775.5198529,602070829.7986908,273732002.92350787,335283183.30734915,682744781.5341552,481106518.35518503,357247154.4494587,197009434.4828931,215538204.59554186,170045850.0765762,196404600.72301316,195499050.14637226,159017943.10471508,53201166.00641617,51302107.41538417,627252584.5339639,512332272.9504026,262534619.43506646,437960889.24229705,438364440.2005616,233295036.376608,578379474.4198394,618875668.6378553,260591328.2820342,489214965.27896595,398975753.75551367,240604783.015035,165800002.17849654,117045242.68517585,118315942.79504216,211688447.90582603,202715097.87962267
3,321494205.3235717,466703193.7613914,245322626.70344967,258858281.42301166,321372778.74158543,173188244.37639573,502645160.09431803,809636642.3503886,343552174.90419936,49820699.529851206,49794956.60796128,61772351.95812359,64229682.16505305,223659510.3100007,248868297.96953624,165109962.15728164,129737072.67372715,169755200.87443453,156442199.5588078,126168404.25651889,170814351.41619587,172493466.68047607,136644209.7983714,132974335.68123563,249414755.49711996,338325625.49075806,282717673.7113676,163334589.70609286,182544030.30318952,188715823.5662409,609370470.7860866,586566275.6969682,251235264.04030815,659783994.1124778,596698375.3061599,284237385.2630242,57282751.92681594,50630445.769945644,67202271.34429406,62039455.36331441,120342555.05391563,197570649.32296675,161651776.21216497,853532801.5805628,715829847.135667,288730306.13255566,337724083.92401034,754754851.8459764,544150960.6225764,364190195.5359981,225650993.89405048,249310593.56932107,182977699.17238975,224491146.38411176,228043011.18516847,171962789.43472064,55182020.01913701,51971863.08708933,706155068.0074201,571770812.2314727,271234925.2480405,472699986.16925955,491868860.2935592,239722313.9295716,623756124.280038,697501396.4493984,274039263.97817993,559426248.43421,476277565.07844484,246294599.39492336,172108167.98161438,120399040.23058882,132847450.54596326,248067935.51055026,204559629.99248683
4,337375992.5843291,491965958.450722,257821844.46201366,265965155.35864985,336714090.34511536,181405830.84058207,622600443.58637,829042931.4061508,354227992.3559509,50291873.08796713,50337265.46634441,62425751.67707352,64971943.445584945,230534271.56697312,259014055.31950188,173199291.6920918,131539326.8130171,175764597.0063773,157294385.97986764,125624075.9494851,175564814.96662357,174368471.81697828,132336663.17552869,129176414.08980907,249901885.67245767,381647706.8253971,311574752.4530002,168186293.14594194,185223223.12284017,189433544.101715,627670633.7115082,595144276.6114568,256828000.23146477,686607543.1006776,618832182.6310834,294841843.27547306,59273953.66610206,51438227.8453134,68444316.3692769,62816993.389065824,121303904.94696508,203849417.78542382,166358917.55335626,872824911.6878998,775756207.5771126,298971498.3000268,340119807.6105676,779227027.8284469,593852091.9433634,370277466.8791617,232673960.3915624,261154815.09202042,190904422.27583203,231414782.2228616,242124147.69449735,180064565.81364018,56962704.067197606,52589134.161759645,734886965.2612119,599542350.6425092,278744049.7340387,464298949.4413202,502370568.21236557,245376843.97350803,604706856.872435,708543130.1088568,285818644.884104,578886025.2145579,511684125.50501883,251615467.43590316,177549031.4901372,123484486.947855,139317877.83898976,264752793.77403653,206406146.83863422
5,336565331.5423264,493316972.69906205,268640160.1794546,261473239.31612244,335030776.17095697,187834319.44356626,739572313.9302225,803996722.2555342,361587189.4228421,50740403.87311148,50834474.68883975,63009538.64607465,65603582.166257665,223237846.72024593,254034291.53131437,177448333.5485868,135458869.99578217,180436533.05618176,158144189.6333321,127689846.16427413,182075215.42635044,176111580.01597694,134402754.84616536,137179926.55437887,250570281.93196172,406185126.58934534,321595355.16515076,172707208.9309075,187688433.39180925,190165568.50506943,623700757.6159426,576203274.4385116,261605546.45785853,675086605.1464462,605612216.872909,304420474.06134605,61103506.766489126,52217921.666219,69533077.10989362,63471379.17578005,121666172.87590136,204897629.88692465,170385474.13023347,838416178.1659405,796100003.9253794,305915204.5013573,342471107.1879505,771646073.1762921,632622094.1713796,375596124.2405137,225345377.59053734,257991078.2615909,195338140.9362466,224247262.457659,243456449.1836301,184816950.65711108,58602044.99458978,53157851.20961258,729373005.5434976,604727023.5035667,285363513.2080931,428721764.6928388,484861298.2923984,250306671.19431782,544634276.5726963,676109334.7841266,296036854.12957686,563341720.8164443,517145283.82801723,256580113.4476083,182198908.62618443,126314152.44778547,140316278.84634963,267408439.05812815,208253570.38150153
6,323127779.44358885,476412615.48212147,277915027.4738719,251127149.93362138,319368169.5620645,192732209.96700862,790200944.9178951,783281256.9186996,367137877.3219911,51167952.10705137,51290779.163862206,63529600.49528466,66136044.62350097,206602788.4498878,238263922.50520444,179459269.15575925,139429138.504227,185060362.40167093,158991994.88820583,132365511.33954899,189809535.22036102,177729470.24206546,183873114.4367845,190112614.0603498,251413470.42324126,421819902.0202608,328420868.8528532,176910290.74004567,189958632.76411033,190910893.62634653,625559000.0759826,552971898.9853429,265668876.28731304,640659210.2455779,574068789.1507008,313031044.0739293,62853936.962827206,52969317.98436902,70511343.34839208,64011613.50864033,122131793.45011272,201006769.30944017,173792110.30306587,768601582.3673047,785684700.4652567,311574952.8748861,344778735.47708607,746955719.0699756,649004851.5767034,380233323.38161516,208801577.12034577,244465412.9578886,197324738.02991042,207150882.7631452,234698384.02545136,187586034.9655003,60159975.481733896,53681944.8008652,711247258.8910178,594897607.8413659,291492902.96797967,372793326.1733556,448408674.1272961,254559840.27789932,460794181.1640446,623863964.9642936,304801274.84436595,523166164.0529388,510685291.0023516,261201263.73967034,186134115.31187382,128900606.34119013,138232104.50242317,262629701.4869395,210100822.5845235
7,329913715.70858395,484288541.8822464,285783899.9633678,249342731.60038966,323373268.62199605,196358002.1925719,841358723.650745,810539624.2319688,371907196.0748896,51576178.01155425,51710373.77982701,63991824.85486169,66580777.11374519,206899837.17168754,239389064.50799084,183457859.586636,137396411.3995294,187941075.10073033,159838186.11349455,132717432.93936591,199478571.15005815,179228821.45983902,255673597.34639516,264394355.49902534,252424977.29390687,423435060.4441463,312302390.7077352,180808492.25241455,192052792.89375842,191668516.31558973,657419260.9587479,550056274.0162678,269118963.2876548,643342620.6724647,578965534.1651089,320731319.7665124,64608375.93878786,53692207.55147044,71415476.98637648,64446697.17283044,121286460.04147208,203756292.24799547,176639490.4321243,759465092.1713599,796227039.8247707,317634642.1460556,347043445.2989039,750642615.9609911,685501776.7076516,384276220.0640302,208966747.86263865,244847107.66343498,201527983.48305053,206999511.1129048,239483819.00613102,192031560.08653748,61758972.0685438,54165345.50573495,703792729.5697446,599701148.0379269,297443515.1244345,367100612.8959143,445705513.08976775,258184395.91015312,436026582.8092556,617718626.736475,312219290.1582418,513929411.61680317,497660672.26557446,265491644.62172318,189430967.46932483,131256418.23888008,139712511.78838262,259926774.5661234,211946825.41113675
8,332709481.12079483,487191742.2298906,292384231.2660437,250394651.63463408,326015018.793728,198971358.79420906,858654858.1948957,852669137.7933266,376603394.3692762,51966741.80838743,52097453.425149284,64402099.35496377,66949225.933420435,206811964.93147677,240178150.8835032,188508937.6743392,138875678.72617915,194577504.66274944,160683147.67820355,133902929.19037706,206367493.01091215,180616312.63389203,339814900.25601226,350466016.75370604,253598328.69156888,434171463.46838224,309018783.3376788,184414767.14707145,193989885.4347681,192437433.42284223,677742171.2116381,555589330.8036487,272056781.02670944,660434229.1573565,602865476.8121569,327579067.59238315,66360836.14570907,54386399.25022524,72276356.78961132,64785630.95353396,121231392.7429572,206052641.21968037,178988278.8776791,751650853.49386,796044594.2551607,324426154.29370975,349265989.4743326,744887124.202017,717792790.1375813,387811970.0493218,208678204.97772712,244688474.23184055,206286978.27551967,207340152.8350043,242560935.5610778,196846473.98789033,63396211.182459034,54611983.89443917,699361233.296265,593716500.851908,303363657.83029026,364124960.6551285,456480567.37107056,261228382.77697903,414154920.7864466,620383331.6919895,318398283.20097387,502484227.0110619,493871742.1645375,269463982.4034,192165781.0206564,133394157.751666,142958869.6522746,258840404.14123207,213790500.8247773
9,336078765.0703219,491949424.35681057,297853475.0000011,250098362.29078203,326617747.2278605,200847439.14854226,834400633.6624075,865475264.4832829,381625267.46175253,52341303.71931823,52456212.98824413,64766311.62574889,67252837.37895682,207336328.60703534,242758577.69490552,193408601.5177365,139460111.79150978,200555650.95333293,161527263.9513384,133803719.98995745,215492916.14319488,181898622.72881895,426956619.8890333,437744229.9115985,254927050.76383728,438385924.74899614,309065810.6989355,187742069.10307384,195788882.04115385,193216641.79814714,699518774.4087766,575519189.8161265,274583303.07230246,681046606.6063962,630982779.3062369,333632054.00483006,68140863.73749523,55051943.57697608,73116860.0979415,65037415.63593452,121281318.08516425,207172860.15809214,180899140.00000066,748529743.6952684,784230265.1609021,331765033.5490234,351447120.8243008,750624770.027989,739863804.9867892,390927729.09905326,208102896.94432786,244300726.95334587,210959819.62951297,207262015.20415288,244833042.67858326,201649753.77069095,65023847.23310672,55025790.537195176,701649323.123055,578455120.4308661,309319157.7622438,359773448.48800755,467523390.8947185,263739845.5642768,397107918.00903326,627476790.1181277,323445637.10233134,489167928.38160056,493722223.2690727,273131003.39433384,194414871.88798746,135326394.4903586,145591114.94322178,258854799.73997307,215630770.78888115
