inst,args,energy
ADD,"[rax, rax]",5694639308
ADD,"[rax, rcx]",5724628582
ADD,"[rax, 0]",5784884565
ADD,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5834311816
ADD,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",34635837166
SUB,"[rax, rax]",1600557329
SUB,"[rax, rcx]",4974564693
SUB,"[rax, 0]",5086755771
SUB,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5126953369
SUB,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",34191677849
ADC,"[rax, rax]",10086527795
ADC,"[rax, rcx]",10075353907
ADC,"[rax, 0]",4973105425
ADC,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",10243728998
ADC,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",37799779805
SBB,"[rax, rax]",10112189508
SBB,"[rax, rcx]",10101328008
SBB,"[rax, 0]",4997301316
SBB,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",10259748181
SBB,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",36428904311
AND,"[rax, rax]",5097551735
AND,"[rax, rcx]",4996838195
AND,"[rax, 0]",5142157721
AND,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5149052108
AND,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",34191179776
OR,"[rax, rax]",5116828057
OR,"[rax, rcx]",5002946150
OR,"[rax, 0]",5080850978
OR,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5160228181
OR,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",34488173636
XOR,"[rax, rax]",1508863726
XOR,"[rax, rcx]",5115578504
XOR,"[rax, 0]",5002345403
XOR,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5264362700
XOR,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",34574930193
NOT,[rax],4990417851
NOT,[al],5139903283
NOT,[<peachpy.literal.Constant object at 0x7fd121a18198>],37257974033
NEG,[rax],5024267195
NEG,[al],5142478848
NEG,[<peachpy.literal.Constant object at 0x7fd121a18198>],33714529894
INC,[rax],4991947025
INC,[al],5123182865
INC,[<peachpy.literal.Constant object at 0x7fd121a18198>],37278368836
DEC,[rax],5116976605
DEC,[al],4971930146
DEC,[<peachpy.literal.Constant object at 0x7fd121a18198>],36840966280
TEST,"[rax, rax]",2059034077
TEST,"[rax, rcx]",2033883545
TEST,"[rax, 0]",1982038016
TEST,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",2611017591
CMP,"[rax, rax]",1979868774
CMP,"[rax, rcx]",2075391863
CMP,"[rax, 0]",1999492437
CMP,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",2618637243
CMP,"[<peachpy.literal.Constant object at 0x7fd121a18128>, rax]",2634387729
MOV,"[rax, rax]",5077513011
MOV,"[rax, rcx]",1985249280
MOV,"[rax, 0]",1985157529
MOV,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",2597569604
