inst,args,energy
MOVSS,"['xmm0', 'xmm0']",6696999321
MOVSS,"['xmm0', 'xmm1']",6697346662
ADDSS,"['xmm0', 'xmm0']",17265780326
ADDSS,"['xmm0', 'xmm1']",16986651579
SUBSS,"['xmm0', 'xmm0']",15949382724
SUBSS,"['xmm0', 'xmm1']",15551118267
MULSS,"['xmm0', 'xmm0']",25089061683
MULSS,"['xmm0', 'xmm1']",25048901222
DIVSS,"['xmm0', 'xmm0']",50317590528
DIVSS,"['xmm0', 'xmm1']",50402099200
SQRTSS,"['xmm0', 'xmm0']",50280914397
SQRTSS,"['xmm0', 'xmm1']",50440999185
MINSS,"['xmm0', 'xmm0']",14958786423
MINSS,"['xmm0', 'xmm1']",15045831338
MAXSS,"['xmm0', 'xmm0']",14945574365
MAXSS,"['xmm0', 'xmm1']",15079824861
RCPSS,"['xmm0', 'xmm0']",24896187050
RCPSS,"['xmm0', 'xmm1']",24873199206
RSQRTSS,"['xmm0', 'xmm0']",25124033877
RSQRTSS,"['xmm0', 'xmm1']",24906091724
CMPSS,"['xmm0', 'xmm1', '0']",14988917691
COMISS,"['xmm0', 'xmm0']",5279975560
COMISS,"['xmm0', 'xmm1']",5154570240
UCOMISS,"['xmm0', 'xmm0']",5274431214
UCOMISS,"['xmm0', 'xmm1']",5151843942
MOVSD,"['xmm0', 'xmm0']",5773664802
MOVSD,"['xmm0', 'xmm1']",5623753386
MOVSD,"['xmm0', '<0000000000000001>']",2622119389
MOVSD,"['<0000000000000001>', 'xmm0']",5264876066
ADDSD,"['xmm0', 'xmm0']",15061562163
ADDSD,"['xmm0', 'xmm1']",15186167944
ADDSD,"['xmm0', '<0000000000000001>']",15140469691
SUBSD,"['xmm0', 'xmm0']",14988810649
SUBSD,"['xmm0', 'xmm1']",15140327697
SUBSD,"['xmm0', '<0000000000000001>']",15123227170
MULSD,"['xmm0', 'xmm0']",25002608776
MULSD,"['xmm0', 'xmm1']",25041266278
MULSD,"['xmm0', '<0000000000000001>']",25120997376
DIVSD,"['xmm0', 'xmm0']",50613819801
DIVSD,"['xmm0', 'xmm1']",832740886664
DIVSD,"['xmm0', '<0000000000000001>']",896097753497
SQRTSD,"['xmm0', 'xmm0']",108692340736
SQRTSD,"['xmm0', 'xmm1']",942474675268
SQRTSD,"['xmm0', '<0000000000000001>']",895218046293
MINSD,"['xmm0', 'xmm0']",15306516070
MINSD,"['xmm0', 'xmm1']",15352970171
MINSD,"['xmm0', '<0000000000000001>']",15345717521
MAXSD,"['xmm0', 'xmm0']",15339921954
MAXSD,"['xmm0', 'xmm1']",15224296789
MAXSD,"['xmm0', '<0000000000000001>']",15359080311
CMPSD,"['xmm0', 'xmm1', '0']",15354326766
COMISD,"['xmm0', 'xmm0']",5212062788
COMISD,"['xmm0', 'xmm1']",5354365474
COMISD,"['xmm0', '<0000000000000001>']",5413011456
UCOMISD,"['xmm0', 'xmm0']",5357342993
UCOMISD,"['xmm0', 'xmm1']",5222732049
UCOMISD,"['xmm0', '<0000000000000001>']",5498413602
MOVAPS,"['xmm0', 'xmm0']",5715342131
MOVAPS,"['xmm0', 'xmm1']",5833791897
MOVUPS,"['xmm0', 'xmm0']",5737855931
MOVUPS,"['xmm0', 'xmm1']",5830148096
MOVLPS,"['xmm0', '<0000000000000001>']",5863099596
MOVLPS,"['<0000000000000001>', 'xmm0']",5316752179
MOVHPS,"['xmm0', '<0000000000000001>']",5867403127
MOVHPS,"['<0000000000000001>', 'xmm0']",5314386329
MOVAPD,"['xmm0', 'xmm0']",5716427844
MOVAPD,"['xmm0', 'xmm1']",5853264827
MOVUPD,"['xmm0', 'xmm0']",5709068151
MOVUPD,"['xmm0', 'xmm1']",5840705945
MOVLPD,"['xmm0', '<0000000000000001>']",5868545638
MOVLPD,"['<0000000000000001>', 'xmm0']",5308527411
MOVHPD,"['xmm0', '<0000000000000001>']",5864176571
MOVHPD,"['<0000000000000001>', 'xmm0']",5317411908
ADDPS,"['xmm0', 'xmm0']",15197084057
ADDPS,"['xmm0', 'xmm1']",15238020027
SUBPS,"['xmm0', 'xmm0']",15371678515
SUBPS,"['xmm0', 'xmm1']",15243227955
MULPS,"['xmm0', 'xmm0']",25406249369
MULPS,"['xmm0', 'xmm1']",25413027976
DIVPS,"['xmm0', 'xmm0']",51190455773
DIVPS,"['xmm0', 'xmm1']",949303961190
SQRTPS,"['xmm0', 'xmm0']",71615099699
SQRTPS,"['xmm0', 'xmm1']",976941779080
ADDPD,"['xmm0', 'xmm0']",15361000516
ADDPD,"['xmm0', 'xmm1']",15331347660
SUBPD,"['xmm0', 'xmm0']",15173517312
SUBPD,"['xmm0', 'xmm1']",15332581922
MULPD,"['xmm0', 'xmm0']",25411518464
MULPD,"['xmm0', 'xmm1']",25359554969
DIVPD,"['xmm0', 'xmm0']",51288093491
DIVPD,"['xmm0', 'xmm1']",58140965819
SQRTPD,"['xmm0', 'xmm0']",108959681740
SQRTPD,"['xmm0', 'xmm1']",1051253816251
MINPS,"['xmm0', 'xmm0']",15330613657
MINPS,"['xmm0', 'xmm1']",15417136469
MAXPS,"['xmm0', 'xmm0']",15286468608
MAXPS,"['xmm0', 'xmm1']",15445019852
RCPPS,"['xmm0', 'xmm0']",25439194316
RCPPS,"['xmm0', 'xmm1']",5138778248
RSQRTPS,"['xmm0', 'xmm0']",25679036416
RSQRTPS,"['xmm0', 'xmm1']",5161881873
CMPPS,"['xmm0', 'xmm1', '0']",15496815138
MINPD,"['xmm0', 'xmm0']",15348509354
MINPD,"['xmm0', 'xmm1']",15342346786
MAXPD,"['xmm0', 'xmm0']",15498516889
MAXPD,"['xmm0', 'xmm1']",15370761011
CMPPD,"['xmm0', 'xmm1', '0']",15436679304
ANDPS,"['xmm0', 'xmm0']",5834088994
ANDPS,"['xmm0', 'xmm1']",5885753207
ANDNPS,"['xmm0', 'xmm0']",5805388595
ANDNPS,"['xmm0', 'xmm1']",5915917243
ORPS,"['xmm0', 'xmm0']",5787881745
ORPS,"['xmm0', 'xmm1']",5899105075
XORPS,"['xmm0', 'xmm0']",1511113796
XORPS,"['xmm0', 'xmm1']",5711676484
ANDPD,"['xmm0', 'xmm0']",5858769851
ANDPD,"['xmm0', 'xmm1']",5715193582
ANDNPD,"['xmm0', 'xmm0']",5846547387
ANDNPD,"['xmm0', 'xmm1']",5732975684
ORPD,"['xmm0', 'xmm0']",5837717504
ORPD,"['xmm0', 'xmm1']",5716384153
XORPD,"['xmm0', 'xmm0']",1529850538
XORPD,"['xmm0', 'xmm1']",5821892744
UNPCKLPS,"['xmm0', 'xmm0']",5791654434
UNPCKLPS,"['xmm0', 'xmm1']",5774427204
UNPCKHPS,"['xmm0', 'xmm0']",5831670715
UNPCKHPS,"['xmm0', 'xmm1']",5740237073
MOVLHPS,"['xmm0', 'xmm0']",5859202389
MOVLHPS,"['xmm0', 'xmm1']",5730520268
MOVHLPS,"['xmm0', 'xmm0']",5843021550
MOVHLPS,"['xmm0', 'xmm1']",5735474790
SHUFPS,"['xmm0', 'xmm1', '0']",5856478276
UNPCKLPD,"['xmm0', 'xmm0']",5724637320
UNPCKLPD,"['xmm0', 'xmm1']",5847067306
UNPCKHPD,"['xmm0', 'xmm0']",5721506884
UNPCKHPD,"['xmm0', 'xmm1']",5835917448
SHUFPD,"['xmm0', 'xmm1', '0']",5721500330
MOVD,"['xmm0', 'eax']",5667149141
MOVQ,"['xmm0', 'xmm0']",5219324177
MOVQ,"['xmm0', 'xmm1']",2209441382
MOVQ,"['xmm0', '<0000000000000001>']",2785411072
