name,frequency,input,cores,speedup,ipmi_energy,parallel_frac
completo_black_2,1.2,1.0,1.0,1.0,11.923711200332642,
completo_black_2,1.2,1.0,2.0,1.992889260795755,6.157488792657852,0.9964319446423201
completo_black_2,1.2,1.0,4.0,3.3386691553958308,3.7401821684042615,0.9339726086630106
completo_black_2,1.2,1.0,6.0,4.306417218089313,2.8811155917303903,0.921346089050698
completo_black_2,1.2,1.0,8.0,5.003740712335241,2.5183371365070344,0.914456590438476
completo_black_2,1.2,1.0,10.0,6.073854597534029,2.134749401092529,0.9281776718479751
completo_black_2,1.2,1.0,12.0,7.545552319073398,1.7113988428115845,0.9463326510702832
completo_black_2,1.2,1.0,14.0,7.538424201386137,1.744092232465744,0.9340652265085226
completo_black_2,1.2,1.0,16.0,7.531032453753343,1.7380276579856873,0.9250304868710189
completo_black_2,1.2,1.0,18.0,7.5152759313657285,1.8118060326576233,0.9179340212843701
completo_black_2,1.2,1.0,20.0,9.648421802740376,1.4466457005341848,0.9435327438769119
completo_black_2,1.2,1.0,22.0,9.631676399172255,1.4349732160568238,0.9388509573923992
completo_black_2,1.2,1.0,24.0,10.048877996057143,1.3773397517204284,0.9396379852408838
completo_black_2,1.2,1.0,26.0,9.908562221308069,1.4047249919573463,0.9350402715579149
completo_black_2,1.2,1.0,28.0,9.961485094425848,1.3972620402177174,0.9329323752113287
completo_black_2,1.2,1.0,30.0,9.941365838121316,1.4040171285470329,0.9304243449715462
completo_black_2,1.2,1.0,32.0,10.182534062944395,1.3784322933355966,0.930882703713492
completo_black_2,1.2,2.0,1.0,1.0,22.468139575481416,
completo_black_2,1.2,2.0,2.0,1.918283402372068,11.730187997423371,0.9574011861193791
completo_black_2,1.2,2.0,4.0,3.496476320646488,6.604436136841774,0.9519970361417642
completo_black_2,1.2,2.0,6.0,4.623971240714938,4.949039482076963,0.9404828149808171
completo_black_2,1.2,2.0,8.0,5.5422622152765415,4.275268885540962,0.9366494431010753
completo_black_2,1.2,2.0,10.0,6.873474065179335,3.4958198457062246,0.9494590701526759
completo_black_2,1.2,2.0,12.0,7.966550176301709,3.0713932867731364,0.9539728930860677
completo_black_2,1.2,2.0,14.0,7.840817488123046,3.0949363705090116,0.9395747610677013
completo_black_2,1.2,2.0,16.0,9.232396313174343,2.666792368133863,0.9511314761826354
completo_black_2,1.2,2.0,18.0,9.264554924845221,2.757119904836019,0.9445359529441392
completo_black_2,1.2,2.0,20.0,9.263490765882175,2.745719480752945,0.938999298681677
completo_black_2,1.2,2.0,22.0,11.075355284116846,2.3442303062438965,0.9530289400564091
completo_black_2,1.2,2.0,24.0,11.141318928701605,2.3245056202888486,0.9498198468570717
completo_black_2,1.2,2.0,26.0,11.089504005885859,2.347112056398392,0.9462176270960352
completo_black_2,1.2,2.0,28.0,11.045336614558313,2.3525667676448823,0.9431479077849535
completo_black_2,1.2,2.0,30.0,11.088529744347397,2.3629801186561585,0.9411897087329858
completo_black_2,1.2,2.0,32.0,11.051896621781811,2.3786694375038144,0.9388570764466526
completo_black_2,1.2,3.0,1.0,1.0,42.930089763376444,
completo_black_2,1.2,3.0,2.0,1.9474512467550205,22.392537134881454,0.9730166527493102
completo_black_2,1.2,3.0,4.0,3.486744639173313,12.733941374571092,0.9509327071580082
completo_black_2,1.2,3.0,6.0,4.86694439589341,9.25711003088951,0.9534387282064439
completo_black_2,1.2,3.0,8.0,5.995291972046746,7.6413829638163255,0.9522313738060685
completo_black_2,1.2,3.0,10.0,6.718340321964807,6.870231922388077,0.9457263497172194
completo_black_2,1.2,3.0,12.0,7.671468581553039,6.074344499724252,0.9487056680165938
completo_black_2,1.2,3.0,14.0,8.241159469204774,5.705133778315324,0.946246916493555
completo_black_2,1.2,3.0,16.0,8.977035575017522,5.338555540442467,0.9478449623576041
completo_black_2,1.2,3.0,18.0,9.638792841533212,5.140750712806528,0.9489733078311813
completo_black_2,1.2,3.0,20.0,9.645284057189267,5.131351955067027,0.9434972525028534
completo_black_2,1.2,3.0,22.0,10.633099060209531,4.683561290693283,0.9490947094475566
completo_black_2,1.2,3.0,24.0,10.798910725139196,4.658328172683716,0.9468501575887027
completo_black_2,1.2,3.0,26.0,10.777683693137451,4.67724718093872,0.9435043122798078
completo_black_2,1.2,3.0,28.0,11.81364040349383,4.274994040383233,0.9492540165948083
completo_black_2,1.2,3.0,30.0,11.923254705350717,4.298327661514282,0.9477209822278351
completo_black_2,1.2,3.0,32.0,11.861495269763658,4.350220863978067,0.9452321001634327
completo_black_2,1.2,4.0,1.0,1.0,83.63758475122924,
completo_black_2,1.2,4.0,2.0,1.9263952760864649,44.04777754949211,0.9617914740410569
completo_black_2,1.2,4.0,4.0,3.484144241019801,25.031663137560987,0.9506473016714899
completo_black_2,1.2,4.0,6.0,4.788912177383694,18.390530122496866,0.9494211721678324
completo_black_2,1.2,4.0,8.0,5.861802866640752,15.302077873627344,0.9478903094685467
completo_black_2,1.2,4.0,10.0,6.78326254939167,13.291239053057087,0.9473092380418228
completo_black_2,1.2,4.0,12.0,7.5292281660953675,12.020767525451523,0.9460191942498916
completo_black_2,1.2,4.0,14.0,8.37284017842599,11.15597618891716,0.9483020768832162
completo_black_2,1.2,4.0,16.0,8.810279769307806,10.697670664807161,0.9455959748615561
completo_black_2,1.2,4.0,18.0,9.626163718005422,10.015068713361567,0.9488291889424383
completo_black_2,1.2,4.0,20.0,9.571214999735897,10.13310255260901,0.9426526913164445
completo_black_2,1.2,4.0,22.0,10.561267903327574,9.276098893404008,0.9484246083520567
completo_black_2,1.2,4.0,24.0,10.547166935796794,9.327486875653268,0.9445438012917966
completo_black_2,1.2,4.0,26.0,11.054665676950336,8.929134781072014,0.9459220757649447
completo_black_2,1.2,4.0,28.0,11.096995424788547,8.930178825616837,0.9435849811120164
completo_black_2,1.2,4.0,30.0,10.46570907198203,9.53170644598007,0.9356377829476964
completo_black_2,1.2,4.0,32.0,11.648416789404129,8.652559951358372,0.9436401790833968
completo_black_2,1.2,5.0,1.0,1.0,165.0802279176395,
completo_black_2,1.2,5.0,2.0,1.9088660489543336,87.86548768218503,0.9522575452082722
completo_black_2,1.2,5.0,4.0,3.490596475729292,48.9288925421238,0.9513546822333779
completo_black_2,1.2,5.0,6.0,4.599505496182095,37.734563612387724,0.9391023880727868
completo_black_2,1.2,5.0,8.0,5.889689720418174,29.794001371219125,0.9488134500467856
completo_black_2,1.2,5.0,10.0,6.839423159420304,26.166826887662292,0.9486542656707586
completo_black_2,1.2,5.0,12.0,7.704851602521057,23.451770061060234,0.9493217966707255
completo_black_2,1.2,5.0,14.0,8.353469124305525,22.23090341299534,0.9480038146503971
completo_black_2,1.2,5.0,16.0,9.088635940937337,20.463806000854657,0.9493039872064684
completo_black_2,1.2,5.0,18.0,9.537137389193493,20.088637387795885,0.9478024246291581
completo_black_2,1.2,5.0,20.0,10.188791737329412,18.94994234436314,0.949318879455164
completo_black_2,1.2,5.0,22.0,10.449367708299372,18.713017938280107,0.9473623548827991
completo_black_2,1.2,5.0,24.0,11.003878995204659,17.74974408346728,0.9486500406279306
completo_black_2,1.2,5.0,26.0,11.276057900570175,17.433737410210277,0.9477691859007383
completo_black_2,1.2,5.0,28.0,11.550814261982376,17.13294030589528,0.9472566100025311
completo_black_2,1.2,5.0,30.0,11.609669020135053,17.15144076941411,0.945377482938278
completo_black_2,1.2,5.0,32.0,12.24911009701069,16.38411107276468,0.9479859781081504
completo_black_2,1.3,1.0,1.0,1.0,11.234448439189368,
completo_black_2,1.3,1.0,2.0,1.9760585399223805,5.704845126628876,0.9878842354141188
completo_black_2,1.3,1.0,4.0,3.4818351617799013,3.3109725315570833,0.950393512410927
completo_black_2,1.3,1.0,6.0,4.633978579261387,2.557845296859741,0.9410432570037324
completo_black_2,1.3,1.0,8.0,5.600603300284664,2.1221774960517883,0.9387974939976967
completo_black_2,1.3,1.0,10.0,5.5068232984060135,2.176008845615387,0.9093412247534483
completo_black_2,1.3,1.0,12.0,6.931549062605352,1.749048683166504,0.9335259315234958
completo_black_2,1.3,1.0,14.0,6.962778060060059,1.7761835081577302,0.9222544852153315
completo_black_2,1.3,1.0,16.0,9.273618854575579,1.3520678575833638,0.951645046370036
completo_black_2,1.3,1.0,18.0,9.430194172841558,1.3640548090140023,0.946543388620908
completo_black_2,1.3,1.0,20.0,9.145425950076207,1.4223099671204886,0.9375323386611796
completo_black_2,1.3,1.0,22.0,9.273116920395593,1.3929971024195351,0.9346452701273739
completo_black_2,1.3,1.0,24.0,9.169473929371517,1.4067746965090435,0.9296791194022329
completo_black_2,1.3,1.0,26.0,9.182189936426722,1.4362631940046944,0.9267372590634169
completo_black_2,1.3,1.0,28.0,9.229545339966402,1.3897997188568114,0.9246764603414127
completo_black_2,1.3,1.0,30.0,9.284024337027839,1.3952470095952354,0.9230566441398367
completo_black_2,1.3,1.0,32.0,13.838259963662377,0.934761027097702,0.9576635658416774
completo_black_2,1.3,2.0,1.0,1.0,20.732587834763077,
completo_black_2,1.3,2.0,2.0,1.9197140808951116,11.093305173229288,0.958178189187708
completo_black_2,1.3,2.0,4.0,3.490828476444731,6.210607724189758,0.9513800685624214
completo_black_2,1.3,2.0,6.0,4.750060408231104,4.615470497131348,0.9473716338595213
completo_black_2,1.3,2.0,8.0,5.75921288213726,3.8752659604549407,0.9444173271660401
completo_black_2,1.3,2.0,10.0,6.498910892661032,3.469111185669899,0.94014229349494
completo_black_2,1.3,2.0,12.0,7.46145900853483,3.019886202335358,0.9447032229064324
completo_black_2,1.3,2.0,14.0,8.709676024854774,2.688092441876729,0.9532763334793638
completo_black_2,1.3,2.0,16.0,8.656883700328697,2.7025311439037325,0.9434506568886717
completo_black_2,1.3,2.0,18.0,8.653109546748912,2.7721334892114005,0.9364601727835594
completo_black_2,1.3,2.0,20.0,10.407764845785893,2.3268818335056305,0.951492516473875
completo_black_2,1.3,2.0,22.0,10.456751309288382,2.337335546875,0.9474331469857905
completo_black_2,1.3,2.0,24.0,10.328746192505948,2.3682677321434022,0.9424516462716905
completo_black_2,1.3,2.0,26.0,10.428885066344323,2.3182765205383298,0.9402769717583478
completo_black_2,1.3,2.0,28.0,10.38072038741023,2.3622768699645995,0.9371367412642351
completo_black_2,1.3,2.0,30.0,10.425313932603679,2.356066722393036,0.935254786656652
completo_black_2,1.3,2.0,32.0,12.941791084613689,1.948917112827301,0.9524964567319201
completo_black_2,1.3,3.0,1.0,1.0,38.99472721517676,
completo_black_2,1.3,3.0,2.0,1.9551896720512825,20.630375286999868,0.97708133968317
completo_black_2,1.3,3.0,4.0,3.5384516382246933,11.705825206824711,0.9565206848489551
completo_black_2,1.3,3.0,6.0,4.71304520778907,8.777228130999065,0.9453875473087325
completo_black_2,1.3,3.0,8.0,5.783046079616707,7.345237226065468,0.9452351410395662
completo_black_2,1.3,3.0,10.0,6.621300426063661,6.4752022881031035,0.9433025176907907
completo_black_2,1.3,3.0,12.0,7.635684361266149,5.680925163269043,0.9480392393941447
completo_black_2,1.3,3.0,14.0,8.331984436399583,5.310761176586151,0.947671386027164
completo_black_2,1.3,3.0,16.0,9.01067110750796,4.942989811897278,0.9482885066006658
completo_black_2,1.3,3.0,18.0,9.084230892946458,5.050246536948465,0.9422673187771475
completo_black_2,1.3,3.0,20.0,9.886786872128843,4.679290359711647,0.9461630576207108
completo_black_2,1.3,3.0,22.0,9.956939044745335,4.7260623028278355,0.9424040771435662
completo_black_2,1.3,3.0,24.0,9.900830221559211,4.719594930529595,0.9380852546752588
completo_black_2,1.3,3.0,26.0,11.036348991768955,4.254081725491418,0.9457659375599989
completo_black_2,1.3,3.0,28.0,11.114663733481075,4.25701724378268,0.9437335361930901
completo_black_2,1.3,3.0,30.0,12.404356823872401,3.8560416839122773,0.9510860317037559
completo_black_2,1.3,3.0,32.0,12.297012754616755,3.923166188746691,0.9483142575839469
completo_black_2,1.3,4.0,1.0,1.0,76.34749102614141,
completo_black_2,1.3,4.0,2.0,1.9298435419349311,40.919998296867504,0.9636465565520781
completo_black_2,1.3,4.0,4.0,3.5295213556651257,23.090777156250816,0.9555672854828956
completo_black_2,1.3,4.0,6.0,4.846108389227283,16.889671702271702,0.9523786296923209
completo_black_2,1.3,4.0,8.0,5.9250446947582045,13.87340346992377,0.9499713163808953
completo_black_2,1.3,4.0,10.0,6.738598488107739,12.406711696920723,0.9462235439008081
completo_black_2,1.3,4.0,12.0,7.499429983778026,11.476647634799663,0.9454434897542259
completo_black_2,1.3,4.0,14.0,8.432015218133872,10.190697222834048,0.9492047262010516
